Year,HUC_8,NPDES_ID,Facility Name,Latitude,Longitude,Facility Type,Permit Type,Permit Effective Date,Permit Expiration Date,Major/Non-Major Indicator,Approved Pretreatment Program,County,Facility Design Flow (Permit Application) (MGD),Average Facility Flow (MGD),4-Digit SIC Code,Pollutant,Parameter Code,Total Pounds (lb/yr),Max Allowable Load (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),Max Allowable TWPE (lb-eq/yr),TWPE Over Limit,Contains Potential Outliers?,Number of Exceedances,QcReviewPounds,QcReviewTwpe
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Inorganic Nitrogen,00630,"2,358",0,0,--,--,--,No,0,"2,358",--
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,"1,889,465","1,195,997","732,285",--,--,--,Yes,9,"1,889,465",--
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Total Kjeldahl Nitrogen,00625,"4,791",0,0,--,--,--,No,0,"4,791",--
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,Sulfate,00945,"1,132,857","4,176,670",0,6.34,23.39,0,No,0,"1,132,857",6.34
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,"BOD, carbonaceous, 05 day, 20 C",80082,"59,833","380,142",0,0,--,--,No,2,"59,833",0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,Inorganic Nitrogen,00630,"91,532",--,0,0,--,--,No,0,"91,532",0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,Chloride,00940,0,"430,978",0,0,10.49,0,No,0,0,0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,"Solids, total dissolved",70295,"7,455,490","17,549,028",0,0,--,--,No,0,"7,455,490",0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,0,"73,119",0,0,81.16,0,No,0,0,0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,"3,236","35,070",0,0,--,--,No,0,"3,236",0
2019,11010001,AR0020010,"FAYETTEVILLE - NOLAND WWTP, FAYETTEVILLE, 72701",36.08073,-94.08928,POTW,NPDES Individual Permit,01/01/2018,12/31/2022,Major,Yes,WASHINGTON,12.60,7.56,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"42,111","269,940",0,0,--,--,No,0,"42,111",0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Nitrogen, nitrate dissolved",00620,"1,181,439",0,0,882,0,0,No,0,"1,181,439",882
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Zinc,01094,"9,409",0,0,376,0,0,No,0,"9,409",376
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Chloride,46225,"10,277,142",0,0,250,0,0,No,0,"10,277,142",250
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Nitrite nitrogen, dissolved (as N)",00615,"17,796",0,0,56.95,0,0,No,0,"17,796",56.95
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,"38,641","88,714",0,42.89,98.47,0,No,0,"38,641",42.89
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Chromium, Hexavalent",01220,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Mercury,71901,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Silver,01079,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Cadmium,01113,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Copper,01119,0,980,0,0,611,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Nickel,01074,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Cyanide,00722,0,294,0,0,326,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Chromium, Trivalent",51058,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Organics, total toxic (TTO)",78141,0,0,0,0,--,--,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Lead,01114,0,0,0,0,0,0,No,0,0,0
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,"27,644","54,471",0,--,--,--,No,0,"27,644",--
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Nitrogen,00600,"1,286,201",0,0,--,--,--,No,0,"1,286,201",--
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,Total Kjeldahl Nitrogen,00625,"125,404",0,0,--,--,--,No,0,"125,404",--
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"638,889","2,178,831",0,--,--,--,No,0,"638,889",--
2019,11010002,MO0049522,"SOUTHWEST WWTP, SPRINGFIELD, 65807-5490",37.1507,-93.3634,POTW,NPDES Individual Permit,10/01/2012,06/30/2016,Major,Yes,GREENE,64,38.98,4952 - SEWERAGE SYSTEMS,"BOD, 5-day, 20 deg. C",00310,"458,803","1,634,123",0,--,--,--,No,0,"458,803",--
2019,11010002,MO0001945,"KRAFT FOODS GROUP INC, SPRINGFIELD, 65804-1726",37.19065,-93.2572,NON-POTW,NPDES Individual Permit,10/01/2017,12/31/2020,Non-Major,N/A,GREENE,--,51.50,2024 - ICE CREAM AND FROZEN DESSERTS,Ammonia as N,00610,"66,892",0,0,74.25,0,0,Yes,0,"66,892",74.25
2019,11010002,MO0001945,"KRAFT FOODS GROUP INC, SPRINGFIELD, 65804-1726",37.19065,-93.2572,NON-POTW,NPDES Individual Permit,10/01/2017,12/31/2020,Non-Major,N/A,GREENE,--,51.50,2024 - ICE CREAM AND FROZEN DESSERTS,Oil and grease,00550,0,"1,126,703",0,0,--,--,Yes,0,0,0
2019,11010002,MO0001945,"KRAFT FOODS GROUP INC, SPRINGFIELD, 65804-1726",37.19065,-93.2572,NON-POTW,NPDES Individual Permit,10/01/2017,12/31/2020,Non-Major,N/A,GREENE,--,51.50,2024 - ICE CREAM AND FROZEN DESSERTS,"Solids, total suspended",00530,"2,171,656",0,0,--,--,--,Yes,0,"2,171,656",--
2019,11010002,MO0001945,"KRAFT FOODS GROUP INC, SPRINGFIELD, 65804-1726",37.19065,-93.2572,NON-POTW,NPDES Individual Permit,10/01/2017,12/31/2020,Non-Major,N/A,GREENE,--,51.50,2024 - ICE CREAM AND FROZEN DESSERTS,"BOD, 5-day, 20 deg. C",00310,"1,394,982","3,098,434",0,--,--,--,Yes,0,"1,394,982",--
2019,11010002,MO0001945,"KRAFT FOODS GROUP INC, SPRINGFIELD, 65804-1726",37.19065,-93.2572,NON-POTW,NPDES Individual Permit,10/01/2017,12/31/2020,Non-Major,N/A,GREENE,--,51.50,2024 - ICE CREAM AND FROZEN DESSERTS,Chemical oxygen demand (COD),00340,"2,555,122",0,0,--,--,--,Yes,0,"2,555,122",--
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,"Nitrogen, nitrate dissolved",00620,"1,558,679",0,0,"1,164",0,0,Yes,0,"1,558,679","1,164"
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,Iron,00980,"21,577",0,0,121,0,0,Yes,0,"21,577",121
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,"72,385","59,773","23,285",80.35,66.35,25.85,Yes,1,"72,385",80.35
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,Aluminum,01104,"1,023","20,280",0,61.40,"1,217",0,Yes,0,"1,023",61.40
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"182,362","1,265,909",0,--,--,--,Yes,0,"182,362",--
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,Oil and grease,00550,"463,235","874,028",0,--,--,--,No,0,"463,235",--
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,"20,312","27,127",0,--,--,--,Yes,0,"20,312",--
2019,11010002,MO0093556,"OZARK CORRECTIONAL CENTER, FORDLAND, 65652",37.128195,-92.882783,NON-POTW,NPDES Individual Permit,05/01/2016,03/31/2021,Non-Major,N/A,WEBSTER,0.0920,19.35,4952 - SEWERAGE SYSTEMS,"BOD, 5-day, 20 deg. C",00310,"216,931","813,799",0,--,--,--,Yes,0,"216,931",--
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Aluminum,01104,"656,041",0,0,"39,362",0,0,No,0,"656,041","39,362"
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,755,"7,195",0,0.8385,7.99,0,No,0,755,0.8385
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Total Residual Chlorine,50060,0,36.39,0,0,18.20,0,No,0,0,0
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"22,571","211,854",0,--,--,--,No,0,"22,571",--
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,"BOD, 5-day, 20 deg. C",00310,"25,514","211,854",0,--,--,--,No,0,"25,514",--
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Nitrogen,00600,"70,227",0,0,--,--,--,No,0,"70,227",--
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,579,"3,531",0,--,--,--,No,0,579,--
2019,11010003,MO0025241,"BRANSON, COMPTON DRIVE, BRANSON, 65616",36.6595,-93.2145,POTW,NPDES Individual Permit,08/01/2015,09/30/2019,Major,No,TANEY,5.30,2.53,4952 - SEWERAGE SYSTEMS,Oil and grease,00550,"25,404","64,911",0,--,--,--,No,0,"25,404",--
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,Ammonia as N,00610,"10,313","41,170",0,11.45,45.70,0,No,0,"10,313",11.45
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,Chloride,00940,0,"6,298,937",0,0,153,0,No,0,0,0
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,Copper,01119,0,347,0,0,216,0,No,0,0,0
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,"BOD, 5-day, 20 deg. C",00310,"73,057","823,390",0,--,--,--,No,0,"73,057",--
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,Phosphorus,00665,"1,745","20,585",0,--,--,--,No,0,"1,745",--
2019,11010003,MOG130009,"MDC SHEPHERD OF THE HILLS HATCHERY, BRANSON, 65616-8938",36.595583,-93.306306,NON-POTW,General Permit Covered Facility,03/01/2019,02/18/2024,Non-Major,N/A,TANEY,--,16.57,0921 - FISH HATCHERIES AND PRESERVES,"Solids, total suspended",00530,"103,711","617,543",0,--,--,--,No,0,"103,711",--
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Aluminum,01104,455,0,0,27.31,0,0,No,0,455,27.31
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,317,0,0,0.3524,0,0,No,0,317,0.3524
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Iron,00980,0,0,0,0,0,0,No,0,0,0
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"9,059","93,751",0,--,--,--,No,0,"9,059",--
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Nitrogen,00600,"63,510",0,0,--,--,--,No,0,"63,510",--
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Oil and grease,00550,"13,646","45,678",0,--,--,--,No,0,"13,646",--
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,Phosphorus,00665,575,"2,344",0,--,--,--,No,0,575,--
2019,11010003,MO0116599,"BRANSON, COOPER CREEK WWTF, BRANSON, 65616",36.62255,-93.25332,POTW,NPDES Individual Permit,09/01/2016,09/30/2019,Major,No,TANEY,3.40,1.68,4952 - SEWERAGE SYSTEMS,"BOD, 5-day, 20 deg. C",00310,"6,635","70,314",0,--,--,--,No,0,"6,635",--
2019,11010004,ARG500081,"ARKANSAS LIME COMPANY, BATESVILLE, 72501-9560",35.794009,-91.718918,NON-POTW,General Permit Covered Facility,02/01/2016,01/31/2021,Non-Major,N/A,INDEPENDENCE,--,10.59,3274 - LIME,Oil and grease,00556,0,"239,912",0,0,--,--,No,0,0,0
2019,11010004,ARG500081,"ARKANSAS LIME COMPANY, BATESVILLE, 72501-9560",35.794009,-91.718918,NON-POTW,General Permit Covered Facility,02/01/2016,01/31/2021,Non-Major,N/A,INDEPENDENCE,--,10.59,3274 - LIME,"Solids, total suspended",00530,"218,669","1,026,290",0,--,--,--,No,0,"218,669",--
2019,11010004,ARG500081,"ARKANSAS LIME COMPANY, BATESVILLE, 72501-9560",35.794009,-91.718918,NON-POTW,General Permit Covered Facility,02/01/2016,01/31/2021,Non-Major,N/A,INDEPENDENCE,--,10.59,3274 - LIME,"Solids, total dissolved",70295,"5,453,147",0,0,--,--,--,No,0,"5,453,147",--
2019,11010004,AR0035386,"FUTUREFUEL CHEMICAL CO, BATESVILLE, 72501-8377",35.722567,-91.524977,NON-POTW,NPDES Individual Permit,09/01/2018,08/31/2023,Major,N/A,INDEPENDENCE,--,47.43,"2865 - CYCLIC CRUDES INTERM., DYES",Aluminum,01104,"29,747","11,282",0,"1,785",677,0,No,0,"29,747","1,785"
